7_days,14_days,21_days,28_days,nth_day,week_day,target
43.0,41.0,46.0,50.0,5,0,59
40.0,39.0,44.0,49.0,6,1,50
35.0,35.0,41.0,45.0,7,2,55
58.0,57.0,58.0,58.0,1,4,57
50.0,49.0,50.0,52.0,2,5,52
60.0,60.0,60.0,60.0,3,6,55
54.0,49.0,53.0,57.0,4,0,59
43.0,39.0,43.0,46.0,5,1,50
42.0,37.0,41.0,46.0,6,2,55
37.0,33.0,38.0,42.0,7,3,47
51.0,50.0,51.0,51.0,1,5,52
60.0,60.0,60.0,60.0,2,6,55
59.0,56.0,59.0,60.0,3,0,59
43.0,39.0,42.0,45.0,4,1,50
42.0,37.0,40.0,44.0,5,2,55
34.0,30.0,33.0,37.0,6,3,47
23.0,20.0,23.0,25.0,7,4,38
56.0,55.0,56.0,56.0,1,6,55
60.0,60.0,60.0,60.0,2,0,59
44.0,41.0,43.0,46.0,3,1,50
50.0,44.0,47.0,51.0,4,2,55
32.0,26.0,29.0,31.0,5,3,47
26.0,22.0,24.0,26.0,6,4,38
59.0,48.0,54.0,60.0,7,5,53
60.0,59.0,60.0,60.0,1,0,59
44.0,43.0,44.0,45.0,2,1,50
44.0,42.0,43.0,45.0,3,2,55
33.0,30.0,31.0,33.0,4,3,47
26.0,22.0,23.0,25.0,5,4,38
58.0,50.0,53.0,58.0,6,5,53
31.0,27.0,28.0,31.0,7,6,59
46.0,46.0,46.0,47.0,1,1,50
42.0,41.0,42.0,43.0,2,2,55
29.0,27.0,28.0,29.0,3,3,47
28.0,25.0,26.0,27.0,4,4,38
57.0,49.0,50.0,53.0,5,5,53
36.0,31.0,31.0,34.0,6,6,59
56.0,47.0,48.0,52.0,7,0,57
52.0,51.0,52.0,52.0,1,2,55
37.0,37.0,37.0,38.0,2,3,47
28.0,28.0,28.0,29.0,3,4,38
55.0,51.0,51.0,54.0,4,5,53
43.0,39.0,38.0,41.0,5,6,59
52.0,46.0,45.0,49.0,6,0,57
35.0,29.0,28.0,31.0,7,1,56
46.0,46.0,45.0,46.0,1,3,47
30.0,29.0,29.0,30.0,2,4,38
52.0,50.0,49.0,51.0,3,5,53
51.0,48.0,47.0,49.0,4,6,59
57.0,52.0,49.0,53.0,5,0,57
36.0,32.0,31.0,33.0,6,1,56
60.0,54.0,51.0,56.0,7,2,57
