,Date_of_prediction,brand,Actual+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Forecasted+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Slots_Booked+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Error
5,2024-08-27,BingeNBash,31.0,39.0,36,22.0,42.0,40,23.0,40.0,51,17.0,35.0,50,17.0,31.0,35,9.0,22,39.0,36,22.0,42.0,40,23.0,40.0,51,17.0,35.0,50,17.0,31.0,35,9.0,17.0,39.0,36,22.0,42.0,40,23.0,40.0,51,17.0,35.0,50,17.0,31.0,35,9.0,7.333333333333333
5,2024-08-27,BingeTown,42.0,41.0,29,18.0,46.0,38,17.0,46.0,43,29.0,50.0,44,16.0,41.0,42,14.0,41,41.0,29,18.0,46.0,38,17.0,46.0,43,29.0,50.0,44,16.0,41.0,42,14.0,20.0,41.0,29,18.0,46.0,38,17.0,46.0,43,29.0,50.0,44,16.0,41.0,42,14.0,5.166666666666667
6,2024-08-28,others,58.0,60.0,65,38.0,64.0,87,26.0,77.0,81,22.0,96.0,74,24.0,76.0,48,10.0,49,60.0,65,38.0,64.0,87,26.0,77.0,81,22.0,96.0,74,24.0,76.0,48,10.0,39.0,60.0,65,38.0,64.0,87,26.0,77.0,81,22.0,96.0,74,24.0,76.0,48,10.0,15.166666666666666
6,2024-08-28,BingeNBash,36.0,47.0,40,30.0,37.0,51,19.0,37.0,50,19.0,39.0,35,13.0,41.0,31,10.0,36,47.0,40,30.0,37.0,51,19.0,37.0,50,19.0,39.0,35,13.0,41.0,31,10.0,25.0,47.0,40,30.0,37.0,51,19.0,37.0,50,19.0,39.0,35,13.0,41.0,31,10.0,8.0
6,2024-08-28,BingeTown,41.0,47.0,38,23.0,47.0,43,29.0,41.0,44,17.0,43.0,42,16.0,45.0,38,12.0,29,47.0,38,23.0,47.0,43,29.0,41.0,44,17.0,43.0,42,16.0,45.0,38,12.0,18.0,47.0,38,23.0,47.0,43,29.0,41.0,44,17.0,43.0,42,16.0,45.0,38,12.0,6.0
7,2024-08-29,others,61.0,67.0,87,40.0,80.0,81,26.0,82.0,74,29.0,75.0,48,12.0,73.0,61,14.0,65,67.0,87,40.0,80.0,81,26.0,82.0,74,29.0,75.0,48,12.0,73.0,61,14.0,40.0,67.0,87,40.0,80.0,81,26.0,82.0,74,29.0,75.0,48,12.0,73.0,61,14.0,12.0
7,2024-08-29,BingeTown,47.0,51.0,43,30.0,49.0,44,22.0,42.0,42,20.0,44.0,38,12.0,44.0,43,8.0,38,51.0,43,30.0,49.0,44,22.0,42.0,42,20.0,44.0,38,12.0,44.0,43,8.0,27.0,51.0,43,30.0,49.0,44,22.0,42.0,42,20.0,44.0,38,12.0,44.0,43,8.0,4.833333333333333
7,2024-08-29,BingeNBash,47.0,38.0,51,26.0,37.0,50,24.0,36.0,35,17.0,29.0,31,10.0,31.0,38,5.0,40,38.0,51,26.0,37.0,50,24.0,36.0,35,17.0,29.0,31,10.0,31.0,38,5.0,34.0,38.0,51,26.0,37.0,50,24.0,36.0,35,17.0,29.0,31,10.0,31.0,38,5.0,7.166666666666667
8,2024-08-30,BingeTown,48.0,49.0,44,29.0,44.0,42,22.0,43.0,38,12.0,43.0,43,9.0,43.0,37,13.0,43,49.0,44,29.0,44.0,42,22.0,43.0,38,12.0,43.0,43,9.0,43.0,37,13.0,38.0,49.0,44,29.0,44.0,42,22.0,43.0,38,12.0,43.0,43,9.0,43.0,37,13.0,3.8333333333333335
8,2024-08-30,others,67.0,84.0,81,41.0,80.0,74,39.0,75.0,48,15.0,72.0,61,13.0,60.0,71,13.0,87,84.0,81,41.0,80.0,74,39.0,75.0,48,15.0,72.0,61,13.0,60.0,71,13.0,53.0,84.0,81,41.0,80.0,74,39.0,75.0,48,15.0,72.0,61,13.0,60.0,71,13.0,13.0
8,2024-08-30,BingeNBash,44.0,46.0,50,30.0,37.0,35,21.0,29.0,31,13.0,32.0,38,6.0,32.0,33,6.0,51,46.0,50,30.0,37.0,35,21.0,29.0,31,13.0,32.0,38,6.0,32.0,33,6.0,32.0,46.0,50,30.0,37.0,35,21.0,29.0,31,13.0,32.0,38,6.0,32.0,33,6.0,3.6666666666666665
9,2024-08-31,BingeTown,49.0,45.0,42,26.0,43.0,38,14.0,43.0,43,10.0,42.0,37,14.0,45.0,39,11.0,44,45.0,42,26.0,43.0,38,14.0,43.0,43,10.0,42.0,37,14.0,45.0,39,11.0,33.0,45.0,42,26.0,43.0,38,14.0,43.0,43,10.0,42.0,37,14.0,45.0,39,11.0,4.0
9,2024-08-31,others,80.0,85.0,74,40.0,76.0,48,26.0,73.0,61,19.0,58.0,71,21.0,59.0,74,15.0,81,85.0,74,40.0,76.0,48,26.0,73.0,61,19.0,58.0,71,21.0,59.0,74,15.0,57.0,85.0,74,40.0,76.0,48,26.0,73.0,61,19.0,58.0,71,21.0,59.0,74,15.0,13.333333333333334
9,2024-08-31,BingeNBash,50.0,36.0,35,24.0,29.0,31,14.0,31.0,38,8.0,33.0,33,6.0,40.0,35,11.0,50,36.0,35,24.0,29.0,31,14.0,31.0,38,8.0,33.0,33,6.0,40.0,35,11.0,38.0,36.0,35,24.0,29.0,31,14.0,31.0,38,8.0,33.0,33,6.0,40.0,35,11.0,2.5
10,2024-09-01,BingeTown,45.0,42.0,38,16.0,44.0,43,15.0,42.0,37,15.0,45.0,39,13.0,45.0,39,9.0,42,42.0,38,16.0,44.0,43,15.0,42.0,37,15.0,45.0,39,13.0,45.0,39,9.0,34.0,42.0,38,16.0,44.0,43,15.0,42.0,37,15.0,45.0,39,13.0,45.0,39,9.0,4.166666666666667
10,2024-09-01,others,85.0,74.0,48,23.0,72.0,61,20.0,58.0,71,21.0,60.0,74,13.0,65.0,101,12.0,74,74.0,48,23.0,72.0,61,20.0,58.0,71,21.0,60.0,74,13.0,65.0,101,12.0,53.0,74.0,48,23.0,72.0,61,20.0,58.0,71,21.0,60.0,74,13.0,65.0,101,12.0,18.5
10,2024-09-01,BingeNBash,40.0,36.0,31,17.0,35.0,38,15.0,32.0,33,8.0,39.0,35,11.0,42.0,33,11.0,35,36.0,31,17.0,35.0,38,15.0,32.0,33,8.0,39.0,35,11.0,42.0,33,11.0,29.0,36.0,31,17.0,35.0,38,15.0,32.0,33,8.0,39.0,35,11.0,42.0,33,11.0,4.5
