,Date_of_prediction,brand,Actual+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Forecasted+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Slots_Booked+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Error
21,2024-09-12,BingeNBash,48.0,49.0,44,62.0,50.0,36,53.0,50.0,26,38.0,50.0,24,39.0,50.0,21,37.0,64,49.0,44,62.0,50.0,36,53.0,50.0,26,38.0,50.0,24,39.0,50.0,21,37.0,63.0,49.0,44,62.0,50.0,36,53.0,50.0,26,38.0,50.0,24,39.0,50.0,21,37.0,19.0
21,2024-09-12,others,103.0,118.0,75,378.0,100.0,94,381.0,98.0,49,351.0,96.0,49,354.0,96.0,47,350.0,59,118.0,75,378.0,100.0,94,381.0,98.0,49,351.0,96.0,49,354.0,96.0,47,350.0,378.0,118.0,75,378.0,100.0,94,381.0,98.0,49,351.0,96.0,49,354.0,96.0,47,350.0,39.666666666666664
22,2024-09-13,BingeNBash,49.0,50.0,36,56.0,50.0,26,39.0,51.0,24,42.0,51.0,21,37.0,51.0,30,38.0,44,50.0,36,56.0,50.0,26,39.0,51.0,24,42.0,51.0,21,37.0,51.0,30,38.0,68.0,50.0,36,56.0,50.0,26,39.0,51.0,24,42.0,51.0,21,37.0,51.0,30,38.0,20.166666666666668
22,2024-09-13,BingeTown,48.0,49.0,52,38.0,41.0,31,15.0,40.0,25,8.0,45.0,37,15.0,35.0,23,4.0,42,49.0,52,38.0,41.0,31,15.0,40.0,25,8.0,45.0,37,15.0,35.0,23,4.0,36.0,49.0,52,38.0,41.0,31,15.0,40.0,25,8.0,45.0,37,15.0,35.0,23,4.0,9.0
22,2024-09-13,others,87.0,81.0,94,46.0,66.0,49,11.0,51.0,49,14.0,58.0,47,-1.0,60.0,65,9.0,75,81.0,94,46.0,66.0,49,11.0,51.0,49,14.0,58.0,47,-1.0,60.0,65,9.0,43.0,81.0,94,46.0,66.0,49,11.0,51.0,49,14.0,58.0,47,-1.0,60.0,65,9.0,10.0
23,2024-09-14,BingeNBash,44.0,26.0,26,13.0,33.0,24,14.0,33.0,21,8.0,32.0,30,9.0,38.0,30,9.0,36,26.0,26,13.0,33.0,24,14.0,33.0,21,8.0,32.0,30,9.0,38.0,30,9.0,28.0,26.0,26,13.0,33.0,24,14.0,33.0,21,8.0,32.0,30,9.0,38.0,30,9.0,6.5
23,2024-09-14,BingeTown,48.0,40.0,31,17.0,38.0,25,12.0,45.0,37,18.0,37.0,23,7.0,39.0,44,11.0,52,40.0,31,17.0,38.0,25,12.0,45.0,37,18.0,37.0,23,7.0,39.0,44,11.0,47.0,40.0,31,17.0,38.0,25,12.0,45.0,37,18.0,37.0,23,7.0,39.0,44,11.0,8.833333333333334
23,2024-09-14,others,84.0,66.0,49,20.0,55.0,49,18.0,74.0,47,11.0,73.0,65,13.0,81.0,48,9.0,94,66.0,49,20.0,55.0,49,18.0,74.0,47,11.0,73.0,65,13.0,81.0,48,9.0,64.0,66.0,49,20.0,55.0,49,18.0,74.0,47,11.0,73.0,65,13.0,81.0,48,9.0,16.833333333333332
24,2024-09-15,BingeTown,41.0,37.0,25,14.0,42.0,37,20.0,37.0,23,7.0,37.0,44,12.0,46.0,46,21.0,31,37.0,25,14.0,42.0,37,20.0,37.0,23,7.0,37.0,44,12.0,46.0,46,21.0,26.0,37.0,25,14.0,42.0,37,20.0,37.0,23,7.0,37.0,44,12.0,46.0,46,21.0,8.0
24,2024-09-15,others,59.0,70.0,49,16.0,80.0,47,12.0,60.0,65,16.0,94.0,48,8.0,88.0,82,15.0,49,70.0,49,16.0,80.0,47,12.0,60.0,65,16.0,94.0,48,8.0,88.0,82,15.0,28.0,70.0,49,16.0,80.0,47,12.0,60.0,65,16.0,94.0,48,8.0,88.0,82,15.0,20.166666666666668
24,2024-09-15,BingeNBash,30.0,32.0,24,16.0,26.0,21,11.0,39.0,30,17.0,38.0,30,11.0,45.0,46,15.0,26,32.0,24,16.0,26.0,21,11.0,39.0,30,17.0,38.0,30,11.0,45.0,46,15.0,20.0,32.0,24,16.0,26.0,21,11.0,39.0,30,17.0,38.0,30,11.0,45.0,46,15.0,5.833333333333333
25,2024-09-16,others,54.0,59.0,47,20.0,60.0,65,18.0,80.0,48,11.0,88.0,82,16.0,81.0,71,11.0,49,59.0,47,20.0,60.0,65,18.0,80.0,48,11.0,88.0,82,16.0,81.0,71,11.0,23.0,59.0,47,20.0,60.0,65,18.0,80.0,48,11.0,88.0,82,16.0,81.0,71,11.0,11.666666666666666
25,2024-09-16,BingeNBash,32.0,24.0,21,12.0,38.0,30,15.0,38.0,30,17.0,44.0,46,16.0,44.0,40,11.0,24,24.0,21,12.0,38.0,30,15.0,38.0,30,17.0,44.0,46,16.0,44.0,40,11.0,20.0,24.0,21,12.0,38.0,30,15.0,38.0,30,17.0,44.0,46,16.0,44.0,40,11.0,5.5
25,2024-09-16,BingeTown,38.0,43.0,37,23.0,38.0,23,7.0,37.0,44,15.0,46.0,46,23.0,45.0,48,14.0,25,43.0,37,23.0,38.0,23,7.0,37.0,44,15.0,46.0,46,23.0,45.0,48,14.0,17.0,43.0,37,23.0,38.0,23,7.0,37.0,44,15.0,46.0,46,23.0,45.0,48,14.0,7.333333333333333
26,2024-09-17,others,60.0,57.0,65,27.0,63.0,48,14.0,86.0,82,22.0,70.0,71,13.0,97.0,41,4.0,47,57.0,65,27.0,63.0,48,14.0,86.0,82,22.0,70.0,71,13.0,97.0,41,4.0,28.0,57.0,65,27.0,63.0,48,14.0,86.0,82,22.0,70.0,71,13.0,97.0,41,4.0,16.166666666666668
26,2024-09-17,BingeNBash,24.0,37.0,30,19.0,39.0,30,18.0,44.0,46,18.0,44.0,40,13.0,42.0,34,12.0,21,37.0,30,19.0,39.0,30,18.0,44.0,46,18.0,44.0,40,13.0,42.0,34,12.0,17.0,37.0,30,19.0,39.0,30,18.0,44.0,46,18.0,44.0,40,13.0,42.0,34,12.0,5.5
26,2024-09-17,BingeTown,41.0,38.0,23,8.0,45.0,44,19.0,47.0,46,25.0,47.0,48,19.0,40.0,25,12.0,37,38.0,23,8.0,45.0,44,19.0,47.0,46,25.0,47.0,48,19.0,40.0,25,12.0,28.0,38.0,23,8.0,45.0,44,19.0,47.0,46,25.0,47.0,48,19.0,40.0,25,12.0,6.166666666666667
27,2024-09-18,others,59.0,62.0,48,16.0,83.0,82,30.0,66.0,71,20.0,87.0,41,7.0,86.0,51,8.0,65,62.0,48,16.0,83.0,82,30.0,66.0,71,20.0,87.0,41,7.0,86.0,51,8.0,33.0,62.0,48,16.0,83.0,82,30.0,66.0,71,20.0,87.0,41,7.0,86.0,51,8.0,17.833333333333332
27,2024-09-18,BingeTown,36.0,44.0,44,22.0,48.0,46,28.0,48.0,48,21.0,44.0,25,15.0,44.0,45,16.0,23,44.0,44,22.0,48.0,46,28.0,48.0,48,21.0,44.0,25,15.0,44.0,45,16.0,15.0,44.0,44,22.0,48.0,46,28.0,48.0,48,21.0,44.0,25,15.0,44.0,45,16.0,5.833333333333333
27,2024-09-18,BingeNBash,38.0,36.0,30,18.0,41.0,46,22.0,45.0,40,20.0,37.0,34,13.0,33.0,28,3.0,30,36.0,30,18.0,41.0,46,22.0,45.0,40,20.0,37.0,34,13.0,33.0,28,3.0,25.0,36.0,30,18.0,41.0,46,22.0,45.0,40,20.0,37.0,34,13.0,33.0,28,3.0,5.333333333333333
28,2024-09-19,BingeTown,43.0,46.0,46,33.0,49.0,48,27.0,40.0,25,15.0,47.0,45,16.0,49.0,44,23.0,44,46.0,46,33.0,49.0,48,27.0,40.0,25,15.0,47.0,45,16.0,49.0,44,23.0,29.0,46.0,46,33.0,49.0,48,27.0,40.0,25,15.0,47.0,45,16.0,49.0,44,23.0,4.0
28,2024-09-19,others,65.0,86.0,82,44.0,78.0,71,36.0,65.0,41,17.0,65.0,51,20.0,62.0,49,13.0,48,86.0,82,44.0,78.0,71,36.0,65.0,41,17.0,65.0,51,20.0,62.0,49,13.0,35.0,86.0,82,44.0,78.0,71,36.0,65.0,41,17.0,65.0,51,20.0,62.0,49,13.0,13.166666666666666
28,2024-09-19,BingeNBash,34.0,44.0,46,28.0,47.0,40,27.0,36.0,34,15.0,33.0,28,6.0,34.0,35,9.0,30,44.0,46,28.0,47.0,40,27.0,36.0,34,15.0,33.0,28,6.0,34.0,35,9.0,20.0,44.0,46,28.0,47.0,40,27.0,36.0,34,15.0,33.0,28,6.0,34.0,35,9.0,3.5
29,2024-09-20,BingeTown,50.0,50.0,48,34.0,42.0,25,19.0,45.0,45,20.0,51.0,44,27.0,44.0,43,14.0,46,50.0,48,34.0,42.0,25,19.0,45.0,45,20.0,51.0,44,27.0,44.0,43,14.0,34.0,50.0,48,34.0,42.0,25,19.0,45.0,45,20.0,51.0,44,27.0,44.0,43,14.0,5.166666666666667
29,2024-09-20,others,94.0,73.0,71,34.0,64.0,41,16.0,58.0,51,16.0,85.0,49,6.0,92.0,52,7.0,82,73.0,71,34.0,64.0,41,16.0,58.0,51,16.0,85.0,49,6.0,92.0,52,7.0,70.0,73.0,71,34.0,64.0,41,16.0,58.0,51,16.0,85.0,49,6.0,92.0,52,7.0,20.0
29,2024-09-20,BingeNBash,44.0,46.0,40,30.0,35.0,34,15.0,34.0,28,6.0,33.0,35,10.0,33.0,28,6.0,46,46.0,40,30.0,35.0,34,15.0,34.0,28,6.0,33.0,35,10.0,33.0,28,6.0,38.0,46.0,40,30.0,35.0,34,15.0,34.0,28,6.0,33.0,35,10.0,33.0,28,6.0,3.6666666666666665
30,2024-09-21,BingeTown,49.0,40.0,25,23.0,47.0,45,22.0,51.0,44,30.0,44.0,43,16.0,58.0,34,18.0,48,40.0,25,23.0,47.0,45,22.0,51.0,44,30.0,44.0,43,16.0,58.0,34,18.0,43.0,40.0,25,23.0,47.0,45,22.0,51.0,44,30.0,44.0,43,16.0,58.0,34,18.0,8.333333333333334
30,2024-09-21,others,75.0,61.0,41,18.0,55.0,51,19.0,81.0,49,8.0,72.0,52,9.0,66.0,60,11.0,71,61.0,41,18.0,55.0,51,19.0,81.0,49,8.0,72.0,52,9.0,66.0,60,11.0,53.0,61.0,41,18.0,55.0,51,19.0,81.0,49,8.0,72.0,52,9.0,66.0,60,11.0,14.333333333333334
30,2024-09-21,BingeNBash,43.0,39.0,34,24.0,32.0,28,9.0,35.0,35,15.0,34.0,28,9.0,33.0,35,5.0,40,39.0,34,24.0,32.0,28,9.0,35.0,35,15.0,34.0,28,9.0,33.0,35,5.0,32.0,39.0,34,24.0,32.0,28,9.0,35.0,35,15.0,34.0,28,9.0,33.0,35,5.0,3.3333333333333335
31,2024-09-22,others,56.0,53.0,51,23.0,81.0,49,7.0,62.0,52,13.0,69.0,60,13.0,86.0,99,21.0,41,53.0,51,23.0,81.0,49,7.0,62.0,52,13.0,69.0,60,13.0,86.0,99,21.0,29.0,53.0,51,23.0,81.0,49,7.0,62.0,52,13.0,69.0,60,13.0,86.0,99,21.0,13.5
31,2024-09-22,BingeNBash,38.0,32.0,28,11.0,38.0,35,20.0,34.0,28,12.0,33.0,35,5.0,39.0,42,13.0,34,32.0,28,11.0,38.0,35,20.0,34.0,28,12.0,33.0,35,5.0,39.0,42,13.0,27.0,32.0,28,11.0,38.0,35,20.0,34.0,28,12.0,33.0,35,5.0,39.0,42,13.0,3.6666666666666665
31,2024-09-22,BingeTown,41.0,50.0,45,24.0,45.0,44,29.0,43.0,43,20.0,44.0,34,18.0,43.0,37,21.0,25,50.0,45,24.0,45.0,44,29.0,43.0,43,20.0,44.0,34,18.0,43.0,37,21.0,27.0,50.0,45,24.0,45.0,44,29.0,43.0,43,20.0,44.0,34,18.0,43.0,37,21.0,6.333333333333333
32,2024-09-23,BingeNBash,28.0,38.0,35,23.0,35.0,28,16.0,33.0,35,8.0,38.0,42,12.0,44.0,35,14.0,28,38.0,35,23.0,35.0,28,16.0,33.0,35,8.0,38.0,42,12.0,44.0,35,14.0,20.0,38.0,35,23.0,35.0,28,16.0,33.0,35,8.0,38.0,42,12.0,44.0,35,14.0,4.166666666666667
32,2024-09-23,BingeTown,55.0,50.0,44,29.0,41.0,43,24.0,40.0,34,19.0,44.0,37,26.0,46.0,44,17.0,45,50.0,44,29.0,41.0,43,24.0,40.0,34,19.0,44.0,37,26.0,46.0,44,17.0,34.0,50.0,44,29.0,41.0,43,24.0,40.0,34,19.0,44.0,37,26.0,46.0,44,17.0,5.5
32,2024-09-23,others,55.0,62.0,49,15.0,68.0,52,16.0,62.0,60,12.0,86.0,99,25.0,77.0,86,22.0,51,62.0,49,15.0,68.0,52,16.0,62.0,60,12.0,86.0,99,25.0,77.0,86,22.0,36.0,62.0,49,15.0,68.0,52,16.0,62.0,60,12.0,86.0,99,25.0,77.0,86,22.0,9.5
33,2024-09-24,BingeNBash,36.0,39.0,28,21.0,32.0,35,9.0,38.0,42,13.0,43.0,35,16.0,26.0,26,7.0,35,39.0,28,21.0,32.0,35,9.0,38.0,42,13.0,43.0,35,16.0,26.0,26,7.0,27.0,39.0,28,21.0,32.0,35,9.0,38.0,42,13.0,43.0,35,16.0,26.0,26,7.0,4.5
33,2024-09-24,BingeTown,47.0,41.0,43,27.0,41.0,34,21.0,46.0,37,27.0,53.0,44,20.0,38.0,32,11.0,44,41.0,43,27.0,41.0,34,21.0,46.0,37,27.0,53.0,44,20.0,38.0,32,11.0,36.0,41.0,43,27.0,41.0,34,21.0,46.0,37,27.0,53.0,44,20.0,38.0,32,11.0,6.0
33,2024-09-24,others,54.0,63.0,52,17.0,62.0,60,16.0,86.0,99,32.0,77.0,86,26.0,60.0,52,12.0,49,63.0,52,17.0,62.0,60,16.0,86.0,99,32.0,77.0,86,26.0,60.0,52,12.0,23.0,63.0,52,17.0,62.0,60,16.0,86.0,99,32.0,77.0,86,26.0,60.0,52,12.0,8.0
34,2024-09-25,BingeNBash,36.0,31.0,35,11.0,38.0,42,18.0,45.0,35,18.0,29.0,26,9.0,33.0,29,6.0,28,31.0,35,11.0,38.0,42,18.0,45.0,35,18.0,29.0,26,9.0,33.0,29,6.0,25.0,31.0,35,11.0,38.0,42,18.0,45.0,35,18.0,29.0,26,9.0,33.0,29,6.0,5.5
34,2024-09-25,others,65.0,68.0,60,24.0,85.0,99,40.0,76.0,86,31.0,63.0,52,16.0,59.0,60,15.0,52,68.0,60,24.0,85.0,99,40.0,76.0,86,31.0,63.0,52,16.0,59.0,60,15.0,26.0,68.0,60,24.0,85.0,99,40.0,76.0,86,31.0,63.0,52,16.0,59.0,60,15.0,9.5
34,2024-09-25,BingeTown,47.0,41.0,34,23.0,44.0,37,30.0,47.0,44,24.0,35.0,32,13.0,40.0,41,14.0,43,41.0,34,23.0,44.0,37,30.0,47.0,44,24.0,35.0,32,13.0,40.0,41,14.0,33.0,41.0,34,23.0,44.0,37,30.0,47.0,44,24.0,35.0,32,13.0,40.0,41,14.0,4.166666666666667
35,2024-09-26,others,66.0,99.0,99,51.0,81.0,86,40.0,64.0,52,15.0,76.0,60,18.0,83.0,79,8.0,60,99.0,99,51.0,81.0,86,40.0,64.0,52,15.0,76.0,60,18.0,83.0,79,8.0,33.0,99.0,99,51.0,81.0,86,40.0,64.0,52,15.0,76.0,60,18.0,83.0,79,8.0,7.166666666666667
35,2024-09-26,BingeNBash,34.0,39.0,42,22.0,47.0,35,24.0,27.0,26,10.0,30.0,29,9.0,52.0,38,21.0,35,39.0,42,22.0,47.0,35,24.0,27.0,26,10.0,30.0,29,9.0,52.0,38,21.0,24.0,39.0,42,22.0,47.0,35,24.0,27.0,26,10.0,30.0,29,9.0,52.0,38,21.0,5.333333333333333
35,2024-09-26,BingeTown,40.0,47.0,37,33.0,47.0,44,27.0,34.0,32,15.0,44.0,41,16.0,40.0,47,11.0,34,47.0,37,33.0,47.0,44,27.0,34.0,32,15.0,44.0,41,16.0,40.0,47,11.0,30.0,47.0,37,33.0,47.0,44,27.0,34.0,32,15.0,44.0,41,16.0,40.0,47,11.0,5.166666666666667
36,2024-09-27,others,95.0,77.0,86,47.0,58.0,52,17.0,71.0,60,28.0,59.0,79,10.0,60.0,43,1.0,99,77.0,86,47.0,58.0,52,17.0,71.0,60,28.0,59.0,79,10.0,60.0,43,1.0,60.0,77.0,86,47.0,58.0,52,17.0,71.0,60,28.0,59.0,79,10.0,60.0,43,1.0,11.166666666666666
36,2024-09-27,BingeNBash,49.0,48.0,35,27.0,26.0,26,12.0,27.0,29,10.0,44.0,38,26.0,30.0,25,7.0,42,48.0,35,27.0,26.0,26,12.0,27.0,29,10.0,44.0,38,26.0,30.0,25,7.0,35.0,48.0,35,27.0,26.0,26,12.0,27.0,29,10.0,44.0,38,26.0,30.0,25,7.0,5.5
36,2024-09-27,BingeTown,48.0,47.0,44,32.0,35.0,32,18.0,48.0,41,21.0,40.0,47,12.0,23.0,38,7.0,37,47.0,44,32.0,35.0,32,18.0,48.0,41,21.0,40.0,47,12.0,23.0,38,7.0,39.0,47.0,44,32.0,35.0,32,18.0,48.0,41,21.0,40.0,47,12.0,23.0,38,7.0,7.666666666666667
37,2024-09-28,others,86.0,71.0,52,28.0,76.0,60,29.0,71.0,79,20.0,70.0,43,1.0,94.0,36,4.0,86,71.0,52,28.0,76.0,60,29.0,71.0,79,20.0,70.0,43,1.0,94.0,36,4.0,62.0,71.0,52,28.0,76.0,60,29.0,71.0,79,20.0,70.0,43,1.0,94.0,36,4.0,21.333333333333332
37,2024-09-28,BingeNBash,40.0,24.0,26,14.0,26.0,29,11.0,51.0,38,28.0,33.0,25,10.0,41.0,21,9.0,35,24.0,26,14.0,26.0,29,11.0,51.0,38,28.0,33.0,25,10.0,41.0,21,9.0,31.0,24.0,26,14.0,26.0,29,11.0,51.0,38,28.0,33.0,25,10.0,41.0,21,9.0,8.5
37,2024-09-28,BingeTown,45.0,34.0,32,21.0,42.0,41,21.0,38.0,47,15.0,35.0,38,9.0,40.0,34,11.0,44,34.0,32,21.0,42.0,41,21.0,38.0,47,15.0,35.0,38,9.0,40.0,34,11.0,38.0,34.0,32,21.0,42.0,41,21.0,38.0,47,15.0,35.0,38,9.0,40.0,34,11.0,3.6666666666666665
38,2024-09-29,BingeNBash,31.0,36.0,29,18.0,52.0,38,32.0,32.0,25,11.0,31.0,21,9.0,45.0,35,10.0,26,36.0,29,18.0,52.0,38,32.0,32.0,25,11.0,31.0,21,9.0,45.0,35,10.0,21.0,36.0,29,18.0,52.0,38,32.0,32.0,25,11.0,31.0,21,9.0,45.0,35,10.0,8.833333333333334
38,2024-09-29,BingeTown,37.0,54.0,41,28.0,40.0,47,20.0,23.0,38,9.0,40.0,34,11.0,23.0,40,5.0,32,54.0,41,28.0,40.0,47,20.0,23.0,38,9.0,40.0,34,11.0,23.0,40,5.0,28.0,54.0,41,28.0,40.0,47,20.0,23.0,38,9.0,40.0,34,11.0,23.0,40,5.0,10.5
38,2024-09-29,others,70.0,71.0,60,25.0,71.0,79,23.0,77.0,43,3.0,94.0,36,7.0,91.0,73,15.0,52,71.0,60,25.0,71.0,79,23.0,77.0,43,3.0,94.0,36,7.0,91.0,73,15.0,37.0,71.0,60,25.0,71.0,79,23.0,77.0,43,3.0,94.0,36,7.0,91.0,73,15.0,24.5
39,2024-09-30,BingeTown,37.0,39.0,47,23.0,38.0,38,12.0,38.0,34,12.0,23.0,40,6.0,41.0,44,12.0,41,39.0,47,23.0,38.0,38,12.0,38.0,34,12.0,23.0,40,6.0,41.0,44,12.0,29.0,39.0,47,23.0,38.0,38,12.0,38.0,34,12.0,23.0,40,6.0,41.0,44,12.0,6.0
39,2024-09-30,others,69.0,71.0,79,31.0,88.0,43,8.0,89.0,36,6.0,90.0,73,20.0,60.0,69,0.0,60,71.0,79,31.0,88.0,43,8.0,89.0,36,6.0,90.0,73,20.0,60.0,69,0.0,38.0,71.0,79,31.0,88.0,43,8.0,89.0,36,6.0,90.0,73,20.0,60.0,69,0.0,23.5
39,2024-09-30,BingeNBash,30.0,52.0,38,36.0,31.0,25,13.0,31.0,21,12.0,38.0,35,10.0,43.0,38,13.0,29,52.0,38,36.0,31.0,25,13.0,31.0,21,12.0,38.0,35,10.0,43.0,38,13.0,21.0,52.0,38,36.0,31.0,25,13.0,31.0,21,12.0,38.0,35,10.0,43.0,38,13.0,6.5
40,2024-10-01,BingeTown,46.0,36.0,38,16.0,39.0,34,15.0,35.0,40,8.0,43.0,44,16.0,33.0,30,5.0,47,36.0,38,16.0,39.0,34,15.0,35.0,40,8.0,43.0,44,16.0,33.0,30,5.0,35.0,36.0,38,16.0,39.0,34,15.0,35.0,40,8.0,43.0,44,16.0,33.0,30,5.0,2.8333333333333335
40,2024-10-01,others,67.0,85.0,43,14.0,82.0,36,12.0,94.0,73,23.0,65.0,69,4.0,66.0,49,5.0,79,85.0,43,14.0,82.0,36,12.0,94.0,73,23.0,65.0,69,4.0,66.0,49,5.0,47.0,85.0,43,14.0,82.0,36,12.0,94.0,73,23.0,65.0,69,4.0,66.0,49,5.0,23.666666666666668
40,2024-10-01,BingeNBash,41.0,32.0,25,19.0,45.0,21,18.0,45.0,35,18.0,44.0,38,13.0,24.0,26,6.0,38,32.0,25,19.0,45.0,21,18.0,45.0,35,18.0,44.0,38,13.0,24.0,26,6.0,36.0,32.0,25,19.0,45.0,21,18.0,45.0,35,18.0,44.0,38,13.0,24.0,26,6.0,8.666666666666666
41,2024-10-02,others,64.0,59.0,36,18.0,94.0,73,29.0,64.0,69,11.0,62.0,49,6.0,67.0,34,5.0,43,59.0,36,18.0,94.0,73,29.0,64.0,69,11.0,62.0,49,6.0,67.0,34,5.0,21.0,59.0,36,18.0,94.0,73,29.0,64.0,69,11.0,62.0,49,6.0,67.0,34,5.0,19.333333333333332
41,2024-10-02,BingeNBash,31.0,31.0,21,16.0,43.0,35,19.0,44.0,38,16.0,24.0,26,7.0,25.0,30,7.0,25,31.0,21,16.0,43.0,35,19.0,44.0,38,16.0,24.0,26,7.0,25.0,30,7.0,21.0,31.0,21,16.0,43.0,35,19.0,44.0,38,16.0,24.0,26,7.0,25.0,30,7.0,6.166666666666667
41,2024-10-02,BingeTown,38.0,40.0,34,22.0,37.0,40,13.0,50.0,44,24.0,24.0,30,5.0,58.0,34,8.0,38,40.0,34,22.0,37.0,40,13.0,50.0,44,24.0,24.0,30,5.0,58.0,34,8.0,28.0,40.0,34,22.0,37.0,40,13.0,50.0,44,24.0,24.0,30,5.0,58.0,34,8.0,7.5
42,2024-10-03,BingeNBash,31.0,45.0,35,21.0,44.0,38,21.0,24.0,26,10.0,27.0,30,9.0,33.0,29,4.0,21,45.0,35,21.0,44.0,38,21.0,24.0,26,10.0,27.0,30,9.0,33.0,29,4.0,20.0,45.0,35,21.0,44.0,38,21.0,24.0,26,10.0,27.0,30,9.0,33.0,29,4.0,5.833333333333333
42,2024-10-03,BingeTown,38.0,38.0,40,20.0,48.0,44,26.0,24.0,30,5.0,59.0,34,10.0,50.0,26,9.0,34,38.0,40,20.0,48.0,44,26.0,24.0,30,5.0,59.0,34,10.0,50.0,26,9.0,26.0,38.0,40,20.0,48.0,44,26.0,24.0,30,5.0,59.0,34,10.0,50.0,26,9.0,10.833333333333334
42,2024-10-03,others,59.0,96.0,73,43.0,67.0,69,17.0,57.0,49,10.0,64.0,34,10.0,74.0,62,11.0,36,96.0,73,43.0,67.0,69,17.0,57.0,49,10.0,64.0,34,10.0,74.0,62,11.0,23.0,96.0,73,43.0,67.0,69,17.0,57.0,49,10.0,64.0,34,10.0,74.0,62,11.0,16.333333333333332
43,2024-10-04,BingeNBash,39.0,38.0,38,20.0,38.0,26,17.0,25.0,30,11.0,27.0,29,7.0,41.0,25,9.0,35,38.0,38,20.0,38.0,26,17.0,25.0,30,11.0,27.0,29,7.0,41.0,25,9.0,25.0,38.0,38,20.0,38.0,26,17.0,25.0,30,11.0,27.0,29,7.0,41.0,25,9.0,6.5
43,2024-10-04,BingeTown,40.0,48.0,44,31.0,37.0,30,11.0,38.0,34,11.0,44.0,26,12.0,61.0,33,8.0,40,48.0,44,31.0,37.0,30,11.0,38.0,34,11.0,44.0,26,12.0,61.0,33,8.0,29.0,48.0,44,31.0,37.0,30,11.0,38.0,34,11.0,44.0,26,12.0,61.0,33,8.0,10.166666666666666
43,2024-10-04,others,79.0,70.0,69,24.0,56.0,49,12.0,57.0,34,10.0,63.0,62,9.0,63.0,49,11.0,73,70.0,69,24.0,56.0,49,12.0,57.0,34,10.0,63.0,62,9.0,63.0,49,11.0,45.0,70.0,69,24.0,56.0,49,12.0,57.0,34,10.0,63.0,62,9.0,63.0,49,11.0,8.666666666666666
44,2024-10-05,BingeNBash,37.0,35.0,26,18.0,25.0,30,13.0,24.0,29,9.0,33.0,25,9.0,31.0,22,5.0,38,35.0,26,18.0,25.0,30,13.0,24.0,29,9.0,33.0,25,9.0,31.0,22,5.0,26.0,35.0,26,18.0,25.0,30,13.0,24.0,29,9.0,33.0,25,9.0,31.0,22,5.0,6.166666666666667
44,2024-10-05,BingeTown,44.0,36.0,30,15.0,37.0,34,14.0,42.0,26,14.0,63.0,33,10.0,45.0,30,11.0,44,36.0,30,15.0,37.0,34,14.0,42.0,26,14.0,63.0,33,10.0,45.0,30,11.0,36.0,36.0,30,15.0,37.0,34,14.0,42.0,26,14.0,63.0,33,10.0,45.0,30,11.0,11.666666666666666
44,2024-10-05,others,70.0,51.0,49,16.0,58.0,34,11.0,72.0,62,8.0,64.0,49,10.0,73.0,29,2.0,69,51.0,49,16.0,58.0,34,11.0,72.0,62,8.0,64.0,49,10.0,73.0,29,2.0,36.0,51.0,49,16.0,58.0,34,11.0,72.0,62,8.0,64.0,49,10.0,73.0,29,2.0,16.0
45,2024-10-14,BingeTown,38.0,30.0,38,21.0,23.0,35,14.0,32.0,39,18.0,37.0,47,13.0,27.0,41,5.0,44,30.0,38,21.0,23.0,35,14.0,32.0,39,18.0,37.0,47,13.0,27.0,41,5.0,31.0,30.0,38,21.0,23.0,35,14.0,32.0,39,18.0,37.0,47,13.0,27.0,41,5.0,9.5
45,2024-10-14,others,47.0,48.0,60,23.0,47.0,50,9.0,56.0,55,18.0,79.0,43,14.0,65.0,81,7.0,37,48.0,60,23.0,47.0,50,9.0,56.0,55,18.0,79.0,43,14.0,65.0,81,7.0,18.0,48.0,60,23.0,47.0,50,9.0,56.0,55,18.0,79.0,43,14.0,65.0,81,7.0,13.0
45,2024-10-14,BingeNBash,28.0,32.0,20,9.0,31.0,21,5.0,34.0,35,14.0,32.0,30,8.0,36.0,36,10.0,28,32.0,20,9.0,31.0,21,5.0,34.0,35,14.0,32.0,30,8.0,36.0,36,10.0,22.0,32.0,20,9.0,31.0,21,5.0,34.0,35,14.0,32.0,30,8.0,36.0,36,10.0,4.166666666666667
46,2024-10-15,others,54.0,58.0,50,24.0,60.0,55,25.0,87.0,43,21.0,67.0,81,13.0,47.0,50,8.0,60,58.0,50,24.0,60.0,55,25.0,87.0,43,21.0,67.0,81,13.0,47.0,50,8.0,30.0,58.0,50,24.0,60.0,55,25.0,87.0,43,21.0,67.0,81,13.0,47.0,50,8.0,13.333333333333334
46,2024-10-15,BingeNBash,22.0,31.0,21,7.0,36.0,35,19.0,29.0,30,12.0,42.0,36,14.0,28.0,29,6.0,20,31.0,21,7.0,36.0,35,19.0,29.0,30,12.0,42.0,36,14.0,28.0,29,6.0,15.0,31.0,21,7.0,36.0,35,19.0,29.0,30,12.0,42.0,36,14.0,28.0,29,6.0,3.5
